time,tx,ty,qlat,qsens,lw,sw,precip,,,
240,0,0,57.99099094,37.15294899,94.16939123,-88.12241856,1.07E+04,,,
240.25,0,0,48.80641885,30.82879518,64.49266637,-2.80E-05,7.26E+05,,,
240.5,0,0,40.58101731,22.02930194,85.92087113,-137.081253,1.32E+05,,,
240.75,0,0,32.52347202,15.72117759,70.92754596,-354.7115878,4.34E+05,,,
241,0,0,27.42708971,15.65808524,55.10070103,-81.49166459,6.69E+05,,,
241.25,0,0,14.36755277,10.72995659,53.45424919,-2.80E-05,1.69E+06,,,
241.5,0,0,18.31655443,10.74626184,69.07951387,-133.3406204,3.95E+05,,,
241.75,0,0,20.32674607,14.02991083,80.24631038,-444.6069749,1.15E+05,,,
242,0,0,29.05664684,14.39491739,88.13804135,-95.82257029,-1.54E+00,,,
242.25,0,0,26.66279347,14.92233655,45.18957691,-2.80E-05,-1.54E+00,,,
242.5,0,0,30.79151243,15.41076481,50.0971906,-110.9993677,-1.54E+00,,,
242.75,0,0,42.48072711,21.57198374,44.67054956,-284.7830332,4.41E+04,,,
243,0,0,27.18144213,17.73007692,43.36479629,-82.07296949,6.16E+05,,,
243.25,0,0,5.546866348,0.758676689,24.27394104,-2.80E-05,2.37E+06,,,
243.5,0,0,0.917040469,-5.900824465,25.62091355,-75.84723565,2.72E+05,,,
243.75,0,0,-1.105263161,-3.245974148,25.57739929,-193.7574273,5.53E+05,,,
244,0,0,-0.137046105,-1.734556596,41.45881357,-46.21440305,6.44E+05,,,
244.25,0,0,3.032064146,0.267236457,25.79639373,-2.80E-05,1.19E+06,,,
244.5,0,0,20.60201507,10.63976796,46.5654198,-99.89178135,8.03E+04,,,
244.75,0,0,58.20341592,35.41418565,54.04921792,-302.3578964,4.35E+05,,,
245,0,0,59.53628025,34.84395996,77.16761984,-99.17885884,6.04E+05,,,
245.25,0,0,54.42479855,40.49414302,79.33872001,-2.80E-05,5.80E+05,,,
245.5,0,0,69.51946325,37.52044277,95.57566126,-155.3023813,-1.54E+00,,,
245.75,0,0,22.37327215,13.05173615,50.74860811,-237.4821961,8.17E+05,,,
246,0,0,89.28740999,51.49837862,64.76417498,-79.23891716,1.40E+06,,,
246.25,0,0,132.3357673,84.22669117,74.76800157,-2.80E-05,9.71E+05,,,
246.5,0,0,100.0818264,54.60765354,83.40012558,-130.9122842,1.18E+06,,,
246.75,0,0,89.72712968,61.97101823,74.12458274,-357.5913279,1.66E+06,,,
247,0,0,60.63371227,33.49237954,88.34289224,-86.39117789,3.99E+05,,,
247.25,0,0,42.93490406,28.12583635,85.26665799,-2.80E-05,9.89E+05,,,
247.5,0,0,43.12933941,21.32133168,92.15408529,-171.1892297,-1.54E+00,,,
