z,t,s,d
929.0335208,3.523253733,34.87374465,27.73428964057416
933.9640419,3.523130842,34.87414372,27.73461984656319
938.8944461,3.531307753,34.87618071,27.735434421119862
943.8247334,3.516710137,34.87493518,27.735885204061788
948.754904,3.503007279,34.87346425,27.73606539955017
953.6849577,3.499662125,34.87377191,27.736640459192586
958.6148946,3.505215243,34.87460052,27.736753272423584
963.5447147,3.500923535,34.87407552,27.7367580911407
968.4744181,3.501319629,34.87518398,27.73760253831165
973.4040048,3.502666657,34.87578188,27.737946258624333
978.3334747,3.504829208,34.87738925,27.73901409617838
983.2628279,3.510596991,34.87822843,27.739113724682284
988.1920644,3.511058318,34.87917866,27.739825537543084
993.1211842,3.514467511,34.88010708,27.740228825963413
998.0501874,3.509391062,34.88010526,27.740728668760312
1002.979074,3.508777021,34.88079776,27.741341229833324
1007.907844,3.508147283,34.88166222,27.742092396654243
1012.836497,3.503748565,34.88193645,27.742745038380463
1017.765034,3.5011261,34.88196056,27.74302293104097
1022.693454,3.497919621,34.88282643,27.744029254307407
1027.621758,3.516175873,34.88638994,27.745067589694827
1032.549945,3.53030984,34.88977289,27.74636581732443
1037.478015,3.531373194,34.89036415,27.746731758266833
1042.405969,3.530584106,34.89028507,27.74674686027015
1047.333807,3.529154961,34.89026722,27.746874112998967
1052.261528,3.530212359,34.89103658,27.747382600846095
1057.189132,3.494899166,34.88702433,27.74767301197926
1062.11662,3.526338918,34.89094904,27.747696218409374
1067.043992,3.489341322,34.88724647,27.748397674639364
1071.971248,3.483009605,34.88658396,27.748492972157464
1076.898386,3.479375155,34.88687674,27.749083955143306
1081.825409,3.478260655,34.88679834,27.749131087960222
1086.752315,3.473451383,34.88746814,27.750137895459147
1091.679105,3.471120665,34.88776265,27.750601739619242
1096.605779,3.471018538,34.88821486,27.75097225141303
1101.532336,3.470826441,34.88825745,27.751025079452575
1106.458777,3.472557904,34.88849328,27.751042897787784
1111.385102,3.472673744,34.88928203,27.751660253698674
1116.31131,3.470583413,34.88906643,27.751693834625485
1121.237402,3.477338246,34.89032289,27.752031313442785
1126.163378,3.482137916,34.89126392,27.75230920291915
1131.089238,3.488341133,34.89330272,27.75332358310834
1136.014982,3.484143218,34.8929171,27.753429582982562
1140.940609,3.486064713,34.89501449,27.754912229877846
1145.866121,3.483829546,34.8948296,27.754984930954834
1150.791516,3.487787953,34.89641477,27.75585867464656
1155.716795,3.511509798,34.90044903,27.756734076259818
1160.641958,3.488910411,34.89792323,27.75695049000751
1165.567005,3.49877029,34.8995215,27.7572524508696
1170.491936,3.496270656,34.89931909,27.757337647343775
1175.41675,3.477695762,34.8988092,27.758760799793663
1180.341449,3.483094132,34.89958493,27.75884785254152
